,SPY,IEFA,EEM,IEI,IEF,TLT,LQD,HYG,GLD,DBC
2020-11-20,0.08102286714439111,0.06621034034782365,0.0602524909460465,0.24015388823616435,0.11330358463694377,0.04074270077163448,0.0463934880145247,0.14724449438796042,0.019464733017997247,0.039951908986269116
2020-11-27,0.05252057835550672,0.04411589059239344,0.03832409748990201,0.28376817917836816,0.12017053873504746,0.02982571153398738,0.039134115467373,0.10526790548427369,0.024688798036017007,0.02833530173354096
2020-12-04,0.024410869581472736,0.022258989748350756,0.01719574521344791,0.3260173095855585,0.12649796664204993,0.01898719774942849,0.030226788560299783,0.06005037998031685,0.02886682466641463,0.01714821476825111
2020-12-11,0.008565676005089602,0.00988209989923641,0.005223682996802471,0.35,0.12944225765745312,0.012733603586211648,0.025029286410375853,0.03455455689285413,0.031047315455753757,0.010911642830543529
2020-12-18,0.008555907156296852,0.009882680002023983,0.005213537199714643,0.35,0.1290862592678474,0.012649739317582833,0.024896296148704634,0.034409591405933415,0.030670868973936845,0.010887008980313593
2020-12-25,0.008591835731205184,0.009882247199847864,0.0052119523358182766,0.35,0.12891714721896905,0.012634633561549626,0.024807714851172682,0.03449778812066319,0.03048191681872558,0.010970217767477376
2021-01-01,0.008804781453707852,0.009913900182341442,0.005196571181769645,0.35,0.12854226534437,0.012571957362610835,0.024663133878709474,0.03472657731762544,0.030441818335799883,0.010991731706232521
2021-01-08,0.008737289526552167,0.009831721738667499,0.00514603689639492,0.35,0.12827885278449863,0.012500160479703834,0.024510481337629897,0.03445181247291,0.030210666411951706,0.010917608046939978
2021-01-15,0.00863512481892025,0.009686103383435646,0.005036497906654381,0.35,0.1261763354726264,0.012082179885488539,0.02373631839705217,0.0340954171010412,0.028589166409317506,0.010648569473323249
2021-01-22,0.00863512481892025,0.009686103383435646,0.005036497906654381,0.35,0.1261763354726264,0.012082179885488539,0.02373631839705217,0.0340954171010412,0.028589166409317506,0.010648569473323249
2021-01-29,0.00863512481892025,0.009686103383435646,0.005036497906654381,0.35,0.1261763354726264,0.012082179885488539,0.02373631839705217,0.0340954171010412,0.028589166409317506,0.010648569473323249
2021-02-05,0.00863512481892025,0.009686103383435646,0.005036497906654381,0.35,0.1261763354726264,0.012082179885488539,0.02373631839705217,0.0340954171010412,0.028589166409317506,0.010648569473323249
2021-02-12,0.009042271000005507,0.010243669203274021,0.004835318197185681,0.35,0.12876141455538703,0.012903261675481848,0.02742120968999835,0.04067018810774047,0.029985926172451122,0.010191072397492496
2021-02-19,0.008441490349390424,0.009410350603114494,0.004882255719994486,0.35,0.12441210948846038,0.011726215990754319,0.02316588509164456,0.03367889225793443,0.02756885309997752,0.010272578642299308
2021-02-26,0.008490223120106236,0.0094717156777268,0.004901994334021285,0.35,0.1239748719321093,0.011650115147654334,0.023080431042255132,0.03385540355069081,0.027623180536963117,0.01035140573931826
2021-03-05,0.008490223120106236,0.0094717156777268,0.004901994334021285,0.35,0.1239748719321093,0.011650115147654334,0.023080431042255132,0.03385540355069081,0.027623180536963117,0.01035140573931826
2021-03-12,0.008490223120106236,0.0094717156777268,0.004901994334021285,0.35,0.1239748719321093,0.011650115147654334,0.023080431042255132,0.03385540355069081,0.027623180536963117,0.01035140573931826
2021-03-19,0.006593776624591918,0.007007057005212447,0.011439115747594847,0.35,0.08823283314559577,0.010855245060861208,0.09821224010268764,0.09274738793685322,0.017648857053548364,0.01891815335439969
2021-03-26,0.006593776624591918,0.007007057005212447,0.011439115747594847,0.35,0.08823283314559577,0.010855245060861208,0.09821224010268764,0.09274738793685322,0.017648857053548364,0.01891815335439969
2021-04-02,0.00752906865998732,0.0078110747067541494,0.011740509461531797,0.35,0.08151569627776241,0.010482781456012518,0.10850886148165895,0.11849044369826678,0.02003654467860981,0.016223355692171856
2021-04-09,0.00752906865998732,0.0078110747067541494,0.011740509461531797,0.35,0.08151569627776241,0.010482781456012518,0.10850886148165895,0.11849044369826678,0.02003654467860981,0.016223355692171856
2021-04-16,0.00752906865998732,0.0078110747067541494,0.011740509461531797,0.35,0.08151569627776241,0.010482781456012518,0.10850886148165895,0.11849044369826678,0.02003654467860981,0.016223355692171856
2021-04-23,0.02186021297426543,0.028490993633072774,0.023449422031643297,0.29791796551259203,0.07226072942595194,0.01145219893685735,0.09516050065268186,0.12993325151074303,0.03130902581246539,0.07113331128609146
2021-04-30,0.03468167917061189,0.04703615324490469,0.0338448725701946,0.24563608441792792,0.06265016216217512,0.012143739324677863,0.08144936658825126,0.1415749102623059,0.04103781367919516,0.13170566551037716
2021-05-07,0.025340403814294362,0.03362081800372963,0.02348226376045147,0.28302743656452317,0.08380005766081541,0.011846245917674763,0.0603659047322714,0.10324197523803219,0.03616936865915536,0.08794846787014488
2021-05-14,0.016286579563173215,0.020369867872933545,0.012895491116131709,0.3217405425355833,0.10856115519782066,0.012262949477504647,0.04110148766795819,0.06804538117700748,0.03253449620563063,0.042826805543139765
2021-05-21,0.008579664558011221,0.009550864466696752,0.004949986194165743,0.35,0.12112875705098586,0.011188467585597798,0.022367703257943444,0.034547099410210454,0.027026097487207343,0.009464184996909483
2021-05-28,0.009630117633026382,0.010638423759069603,0.005181296375522731,0.35,0.12649506475976036,0.012540095329792935,0.026944865848222338,0.04235302421570808,0.029888838963251223,0.009778016181291765
2021-06-04,0.009630117633026382,0.010638423759069603,0.005181296375522731,0.35,0.12649506475976036,0.012540095329792935,0.026944865848222338,0.04235302421570808,0.029888838963251223,0.009778016181291765
2021-06-11,0.008466952718704807,0.009391214105044678,0.004849110288231384,0.35,0.1196373092995131,0.010965467072400962,0.021771563955861457,0.034026077950812354,0.026445359551189172,0.009360093491532634
2021-06-18,0.008420169780814363,0.009353105125278555,0.004830152440222022,0.35,0.11910587617767542,0.010897356120365975,0.02163053780518265,0.03382526848056542,0.026300913196063824,0.009359390894402754
2021-06-25,0.008476169896220203,0.009399720149880319,0.004890279295064733,0.35,0.1188383139637226,0.010881941658035386,0.02179833839199127,0.03416483394367768,0.02594176673304435,0.009376047867189902
2021-07-02,0.008476169896220203,0.009399720149880319,0.004890279295064733,0.35,0.1188383139637226,0.010881941658035386,0.02179833839199127,0.03416483394367768,0.02594176673304435,0.009376047867189902
2021-07-09,0.008476169896220203,0.009399720149880319,0.004890279295064733,0.35,0.1188383139637226,0.010881941658035386,0.02179833839199127,0.03416483394367768,0.02594176673304435,0.009376047867189902
2021-07-16,0.008364191869111024,0.009230641092820483,0.004813017631829549,0.35,0.11741275184840756,0.010676506639911678,0.02157137644731615,0.033823062198837545,0.026487462783760882,0.009252569516876048
2021-07-23,0.008364191869111024,0.009230641092820483,0.004813017631829549,0.35,0.11741275184840756,0.010676506639911678,0.02157137644731615,0.033823062198837545,0.026487462783760882,0.009252569516876048
2021-07-30,0.008350294879389375,0.009157821670822354,0.004787478725637438,0.35,0.11635974533047054,0.010563994331997404,0.02157855468283579,0.033827354649401044,0.026924003144174806,0.0090002070874862
2021-08-06,0.008376760261666717,0.00918910733703788,0.004759560896563212,0.35,0.11609589706978746,0.010555445031188517,0.02157346496527669,0.033896750717632256,0.027019394863556184,0.008990739989633513
2021-08-13,0.008198892184917058,0.008961629538713963,0.004686929962991341,0.35,0.11442657085201643,0.01029192658717969,0.020902516729531813,0.033015452647116125,0.0264946063575604,0.008776026446681663
2021-08-20,0.008198892184917058,0.008961629538713963,0.004686929962991341,0.35,0.11442657085201643,0.01029192658717969,0.020902516729531813,0.033015452647116125,0.0264946063575604,0.008776026446681663
